epoch,split,loss,acc,lr,duration_s
0,train,0.6978588786125183,0.484,0.01,0.2752108573913574
0,eval,0.6922937316894531,0.6,0.01,0.006996870040893555
1,train,0.6930506892204285,0.506,0.01,0.04626917839050293
1,eval,0.6923027544021606,0.52,0.01,0.006998538970947266
2,train,0.6933831529617309,0.486,0.01,0.040453433990478516
2,eval,0.6917899069786072,0.504,0.01,0.003443479537963867
3,train,0.694941752910614,0.5,0.01,0.04500079154968262
3,eval,0.6920485644340515,0.504,0.01,0.004003047943115234
4,train,0.6939166784286499,0.504,0.01,0.04593348503112793
4,eval,0.6921061067581177,0.496,0.01,0.0068204402923583984
5,train,0.6924652404785157,0.504,0.01,0.03699541091918945
5,eval,0.6918538708686829,0.56,0.01,0.004015207290649414
6,train,0.6927537569999694,0.5,0.01,0.048178672790527344
6,eval,0.6919152302742004,0.504,0.01,0.004822969436645508
7,train,0.6935526633262634,0.5,0.01,0.03853130340576172
7,eval,0.6919506044387818,0.544,0.01,0.00699925422668457
8,train,0.6930086703300476,0.512,0.01,0.04465341567993164
8,eval,0.6921447200775146,0.592,0.01,0.006997823715209961
9,train,0.6929185729026794,0.546,0.01,0.04581427574157715
9,eval,0.6921462392807007,0.648,0.01,0.00405573844909668
10,train,0.6932472095489502,0.504,0.01,0.045319557189941406
10,eval,0.6928088612556458,0.496,0.01,0.005898237228393555
11,train,0.6941125392913818,0.482,0.01,0.04300379753112793
11,eval,0.6924320282936096,0.504,0.01,0.004000425338745117
12,train,0.6935205583572388,0.5,0.01,0.03699946403503418
12,eval,0.6923925595283509,0.504,0.01,0.00431513786315918
13,train,0.6937430758476257,0.488,0.01,0.03900432586669922
13,eval,0.6928980832099915,0.48,0.01,0.0041882991790771484
14,train,0.6944837756156922,0.456,0.01,0.045996665954589844
14,eval,0.6925788278579712,0.504,0.01,0.0060007572174072266
15,train,0.6934008417129517,0.502,0.01,0.038633108139038086
15,eval,0.6927125272750855,0.496,0.01,0.003080606460571289
16,train,0.6930903611183167,0.488,0.01,0.0406951904296875
16,eval,0.692906397819519,0.496,0.01,0.006181955337524414
17,train,0.6935695304870605,0.486,0.01,0.04700040817260742
17,eval,0.6927402091026306,0.592,0.01,0.006998300552368164
18,train,0.6936427540779114,0.53,0.01,0.0395359992980957
18,eval,0.6929357109069825,0.536,0.01,0.003495931625366211
19,train,0.693703715801239,0.452,0.01,0.0449984073638916
19,eval,0.6929359316825867,0.472,0.01,0.004668235778808594
20,train,0.6934399375915528,0.494,0.01,0.04726004600524902
20,eval,0.6929125394821167,0.552,0.01,0.006260395050048828
21,train,0.6937688784599304,0.498,0.01,0.0495145320892334
21,eval,0.69286123752594,0.504,0.01,0.007000923156738281
22,train,0.6934689555168152,0.476,0.01,0.03586530685424805
22,eval,0.6929674692153931,0.528,0.01,0.0039484500885009766
23,train,0.6933825507164001,0.516,0.01,0.0474698543548584
23,eval,0.693036235332489,0.544,0.01,0.006644248962402344
24,train,0.6933134665489197,0.52,0.01,0.0452885627746582
24,eval,0.6931046848297119,0.496,0.01,0.009006023406982422
25,train,0.6936836295127868,0.484,0.01,0.042858123779296875
25,eval,0.6930801100730896,0.568,0.01,0.004632711410522461
26,train,0.6932740817070008,0.51,0.01,0.04900002479553223
26,eval,0.6931346235275269,0.504,0.01,0.006001472473144531
27,train,0.6935507807731628,0.458,0.01,0.046143293380737305
27,eval,0.6931833786964416,0.488,0.01,0.004853487014770508
28,train,0.6934464793205262,0.532,0.01,0.04342937469482422
28,eval,0.69310320520401,0.504,0.01,0.006203889846801758
29,train,0.6933347311019897,0.502,0.01,0.04699850082397461
29,eval,0.6930775141716004,0.528,0.01,0.006044149398803711
30,train,0.6933840494155884,0.486,0.01,0.045928955078125
30,eval,0.6931720814704895,0.496,0.01,0.0069980621337890625
31,train,0.6934885711669921,0.498,0.01,0.04399871826171875
31,eval,0.6932328758239746,0.496,0.01,0.004999399185180664
32,train,0.6933873338699341,0.5,0.01,0.04599952697753906
32,eval,0.6932033557891846,0.496,0.01,0.006001710891723633
33,train,0.6935650606155396,0.5,0.01,0.03605508804321289
33,eval,0.6933035969734191,0.496,0.01,0.00394892692565918
34,train,0.6931946225166321,0.494,0.01,0.04200434684753418
34,eval,0.6931206240653992,0.504,0.01,0.003658294677734375
35,train,0.6934758143424988,0.462,0.01,0.045996904373168945
35,eval,0.6931201725006103,0.504,0.01,0.006998538970947266
36,train,0.6932307887077331,0.506,0.01,0.04800248146057129
36,eval,0.6931624345779419,0.464,0.01,0.006821632385253906
37,train,0.6934465956687927,0.492,0.01,0.04322052001953125
37,eval,0.6931063642501831,0.504,0.01,0.0037827491760253906
38,train,0.6933226447105407,0.496,0.01,0.039124250411987305
38,eval,0.6931549272537232,0.504,0.01,0.0038945674896240234
39,train,0.6933141641616821,0.484,0.01,0.047000885009765625
39,eval,0.6932727913856507,0.496,0.01,0.00520777702331543
40,train,0.6934372949600219,0.5,0.01,0.05348563194274902
40,eval,0.6933005971908569,0.496,0.01,0.005227804183959961
41,train,0.6932592267990112,0.476,0.01,0.05100131034851074
41,eval,0.6931255760192871,0.504,0.01,0.005999565124511719
42,train,0.6934397196769715,0.5,0.01,0.04100179672241211
42,eval,0.6931234803199768,0.504,0.01,0.006998300552368164
43,train,0.6933321628570557,0.482,0.01,0.04200029373168945
43,eval,0.6931380262374878,0.576,0.01,0.00700068473815918
44,train,0.6934233679771423,0.536,0.01,0.04254770278930664
44,eval,0.69312406873703,0.504,0.01,0.004614830017089844
45,train,0.6937240676879883,0.474,0.01,0.05100202560424805
45,eval,0.69326065158844,0.496,0.01,0.005200386047363281
46,train,0.6933184838294983,0.466,0.01,0.0473170280456543
46,eval,0.6931819586753846,0.496,0.01,0.004807710647583008
47,train,0.6932851853370666,0.49,0.01,0.042047977447509766
47,eval,0.693128655910492,0.504,0.01,0.006090641021728516
48,train,0.6932461004257202,0.5,0.01,0.04400348663330078
48,eval,0.6931309876441956,0.6,0.01,0.005995750427246094
49,train,0.693291826248169,0.504,0.01,0.042523860931396484
